EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyRate,Over18,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsSinceLastPromotion,outlier,MonthlyIncome_Log,YearsAtCompany_Winsorized,TotalWorkingYears_Rank,NumCompaniesWorked_Robust,IncomePerYearWorked,OverTime_Numeric,WorkLifeBalanceScore,LevelRoleGap,PromotionRate,RetentionScore,SatisfactionConsistency,TravelIntensity,PerformancePayRatio,RiskScore,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,SalaryBand_Medium,SalaryBand_High,SalaryBand_Very High,YearsSinceLastPromotion_Binned_Medium (3-5),YearsSinceLastPromotion_Binned_Long (6-10),YearsSinceLastPromotion_Binned_Very Long (>10)
11,25,0,583,4,1,1,3,87,2,1,18154,Y,3,1,80,0,1,0,1,8.356319965828153,5,0.18537414965986396,-0.3333333333333333,851.2,0,4,1.6,0.0,1.0,0,1,0.25,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
12,20,1,129,4,3,1,1,84,3,1,13008,Y,3,2,80,0,2,0,1,7.9976631270201,1,0.03537414965986395,-0.3333333333333333,2973.0,0,3,1.0,0.0,1.0,1,1,0.15789473684210525,2,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
13,47,0,571,14,3,1,3,78,3,3,24200,Y,3,3,80,1,4,1,1,8.432070937999402,5,0.6404761904761904,0.3333333333333333,417.3636363636364,1,1,1.2,0.2,0.45454545454545453,0,1,0.17647058823529413,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False
14,42,0,810,23,5,1,1,44,3,4,15901,Y,3,2,80,0,2,0,1,9.67990640549087,1,0.7707482993197279,0.0,999.5,0,3,4.0,0.0,0.0625,2,1,0.21428571428571427,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
15,31,0,616,12,3,1,4,41,3,4,17369,Y,3,3,80,2,2,8,1,8.675222055641148,9,0.5595238095238095,-0.6666666666666666,585.5,1,0,0.6000000000000001,0.8888888888888888,0.9,1,1,0.2727272727272727,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
16,38,0,573,6,3,1,2,79,1,4,15717,Y,3,4,80,3,3,1,1,8.58110651715989,13,0.7945578231292517,1.6666666666666667,313.47058823529414,1,2,-0.20000000000000018,0.07692307692307693,0.7647058823529411,0,0,0.25,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
17,39,0,408,2,4,1,4,80,2,3,20978,Y,3,1,80,0,4,11,1,8.423761246623686,20,0.8493197278911565,-0.3333333333333333,227.65,0,3,0.6000000000000001,0.55,1.0,2,1,0.2727272727272727,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
18,54,0,821,5,2,1,1,86,3,1,8509,Y,3,3,80,1,4,1,1,9.873389104712095,4,0.9180272108843538,0.6666666666666666,808.5833333333334,0,2,4.6,0.25,0.16666666666666666,2,1,0.2727272727272727,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
19,25,0,772,2,1,1,4,77,4,3,4973,Y,3,3,80,2,6,0,1,8.557759153162898,7,0.32789115646258504,-0.3333333333333333,743.7142857142857,0,3,0.6000000000000001,0.0,1.0,0,2,0.17647058823529413,0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
20,49,0,1098,4,2,1,1,85,2,3,12124,Y,3,3,80,1,2,0,1,9.836920308264014,1,0.904421768707483,0.0,813.5217391304348,0,4,5.0,0.0,0.043478260869565216,0,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
21,24,0,691,23,3,1,2,89,4,4,21630,Y,3,2,80,2,3,1,1,7.9105906122564775,6,0.2578231292517007,-0.3333333333333333,454.1666666666667,1,2,0.0,0.16666666666666666,1.0,2,1,0.2727272727272727,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
22,40,0,302,6,3,1,2,75,3,3,20364,Y,3,3,80,0,3,5,1,9.490846760678869,20,0.889795918367347,1.6666666666666667,601.6818181818181,0,3,2.8,0.25,0.9090909090909091,0,1,0.2,0,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
23,41,0,267,10,2,1,4,56,3,4,13430,Y,3,4,80,0,3,1,1,8.737292112544221,14,0.7707482993197279,1.6666666666666667,389.375,0,3,1.4,0.07142857142857142,0.875,0,0,0.21428571428571427,0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
24,32,0,588,8,2,1,3,65,2,2,24624,Y,3,4,80,0,2,11,1,8.56197533418813,13,0.6976190476190476,-0.3333333333333333,402.15384615384613,1,2,-0.3999999999999999,0.8461538461538461,1.0,2,1,0.2727272727272727,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
25,24,1,813,1,3,1,2,61,3,4,3020,Y,3,1,80,1,2,2,1,7.738052297689316,2,0.2578231292517007,0.0,382.1666666666667,1,1,1.0,1.0,0.3333333333333333,3,1,0.1875,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
26,49,1,722,25,4,1,3,84,3,1,22102,Y,3,4,80,1,3,1,1,8.074649075066652,9,0.5595238095238095,-0.3333333333333333,321.1,0,2,-0.19999999999999996,0.1111111111111111,0.9,3,1,0.21428571428571427,1,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
27,24,0,350,21,2,1,3,57,2,1,10036,Y,3,2,80,3,3,0,1,7.739359202689098,1,0.07346938775510205,-0.6666666666666666,1148.0,0,3,0.8,0.0,0.5,1,1,0.21428571428571427,1,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,39,0,412,13,4,1,3,94,2,2,17334,Y,3,4,80,2,4,15,1,9.748236267264836,19,0.8710884353741497,1.3333333333333333,815.3809523809524,1,2,2.2,0.7894736842105263,0.9047619047619048,2,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
29,59,0,818,6,2,1,2,52,3,3,25657,Y,3,4,80,0,2,2,1,7.7266536648476425,2,0.32789115646258504,2.0,323.85714285714283,0,2,0.6,1.0,0.2857142857142857,1,1,0.17647058823529413,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,47,0,1176,26,4,1,4,98,3,3,5220,Y,3,3,80,1,2,1,-1,9.886290527707606,5,0.9455782312925171,0.3333333333333333,728.074074074074,0,3,4.6,0.2,0.18518518518518517,0,1,0.2727272727272727,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
31,36,0,1425,14,1,1,3,68,3,4,4821,Y,3,1,80,1,2,4,1,8.792853288640693,16,0.7945578231292517,-0.6666666666666666,387.4117647058824,1,1,0.3999999999999999,0.25,0.9411764705882353,3,1,0.17647058823529413,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
32,30,0,853,7,4,1,3,49,3,3,11309,Y,3,1,80,3,4,8,1,8.158229916959494,10,0.5595238095238095,-0.3333333333333333,349.1,0,2,0.6000000000000001,0.8,1.0,2,1,0.23076923076923078,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
33,38,0,433,1,3,1,3,37,4,3,6004,Y,3,4,80,1,2,5,1,7.953318346560431,7,0.32789115646258504,-0.3333333333333333,406.2857142857143,0,4,-0.19999999999999996,0.7142857142857143,1.0,1,1,0.23076923076923078,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
34,28,1,1496,1,3,1,1,92,3,3,15747,Y,3,4,80,1,3,1,1,7.975908360165538,3,0.18537414965986396,0.3333333333333333,581.8,0,4,0.6,0.3333333333333333,0.6,1,2,0.2,1,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
35,31,0,192,2,4,1,3,32,3,4,7747,Y,3,2,80,1,2,2,1,7.899524472032198,2,0.09829931972789116,-0.6666666666666666,898.3333333333334,1,0,0.6,1.0,0.6666666666666666,2,1,0.16666666666666666,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36,36,0,845,1,5,1,4,45,3,4,15276,Y,3,2,80,0,6,0,1,8.802973456578423,1,0.32789115646258504,0.6666666666666666,950.4285714285714,0,3,2.0,0.0,0.14285714285714285,2,0,0.2,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
37,32,0,427,1,3,1,1,33,3,4,10877,Y,4,2,80,1,3,7,1,8.726318950962243,9,0.45816326530612245,-0.3333333333333333,684.6666666666666,1,2,0.3999999999999999,0.7777777777777778,1.0,2,1,0.18181818181818182,2,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False
38,43,0,990,27,3,1,4,87,4,2,5855,Y,3,3,80,1,0,0,1,8.492285555710053,6,0.3904761904761905,1.0,609.5,0,3,0.19999999999999996,0.0,0.75,1,1,0.25,0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
39,28,0,120,4,3,1,2,43,3,3,8863,Y,3,2,80,0,3,0,1,8.348064228408266,5,0.18537414965986396,-0.3333333333333333,844.2,0,4,1.2,0.0,1.0,1,0,0.2,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
40,31,1,249,6,4,1,2,76,1,3,20739,Y,3,2,80,0,3,7,1,8.727940222393896,7,0.669047619047619,0.6666666666666666,514.3333333333334,1,1,0.6000000000000001,1.0,0.5833333333333334,1,1,0.16666666666666666,1,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
41,50,0,316,8,4,1,4,54,3,2,9983,Y,3,4,80,1,2,2,1,8.262558973010657,2,0.13401360544217686,1.6666666666666667,968.75,0,3,0.6,1.0,0.5,2,1,0.2,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
42,39,0,1132,1,3,1,3,48,4,4,10942,Y,3,1,80,3,5,3,1,9.170975648453906,18,0.8316326530612245,-0.6666666666666666,505.94736842105266,0,2,1.0,0.16666666666666666,0.9473684210526315,3,1,0.17647058823529413,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
43,35,0,809,16,3,1,1,84,4,2,16479,Y,3,3,80,1,5,0,1,7.794411205726601,5,0.2578231292517007,-0.6666666666666666,404.3333333333333,0,3,0.19999999999999996,0.0,0.8333333333333334,1,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,32,0,379,5,2,1,2,48,3,2,8891,Y,3,4,80,1,3,5,1,8.783396232190894,10,0.5595238095238095,-0.3333333333333333,652.4,0,3,0.3999999999999999,0.5,1.0,2,2,0.21428571428571427,0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
45,26,1,1330,21,3,1,1,37,3,3,19373,Y,4,3,80,1,0,0,1,7.774015077250727,1,0.03537414965986395,-0.3333333333333333,2377.0,0,2,0.8,0.0,1.0,0,1,0.2,1,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,30,0,288,2,3,1,3,99,2,4,15830,Y,3,1,80,3,3,10,1,8.331586243630754,11,0.6404761904761904,-0.3333333333333333,377.45454545454544,0,3,0.0,0.9090909090909091,1.0,3,1,0.15789473684210525,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
47,38,0,345,10,2,1,1,100,3,4,5982,Y,3,3,80,1,1,1,1,8.583729715216482,10,0.5595238095238095,-0.3333333333333333,534.3,0,3,0.6000000000000001,0.1,1.0,1,1,0.2727272727272727,1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
48,30,1,330,1,3,1,3,46,3,3,15428,Y,4,1,80,1,3,1,1,7.632885505395133,5,0.2578231292517007,-0.6666666666666666,344.0,0,4,0.4,0.2,0.8333333333333334,2,1,0.19047619047619047,1,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,38,0,216,23,3,1,4,44,2,3,8787,Y,4,2,80,0,2,1,1,9.161885151706779,9,0.5595238095238095,-0.6666666666666666,952.6,0,3,1.6,0.1111111111111111,0.9,1,2,0.19047619047619047,0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
50,21,0,1343,22,1,1,3,49,3,3,24444,Y,3,3,80,0,2,1,1,8.145549631783584,3,0.09829931972789116,-0.3333333333333333,1149.0,0,3,0.6,0.3333333333333333,1.0,0,1,0.2727272727272727,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
51,35,0,950,7,3,1,3,59,3,3,18869,Y,4,2,80,0,3,1,1,9.232297539328226,8,0.7945578231292517,0.3333333333333333,601.2352941176471,0,4,2.0,0.125,0.47058823529411764,1,1,0.19047619047619047,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
52,50,0,264,9,3,1,3,59,3,3,19519,Y,3,3,80,1,2,0,1,9.869517032964975,1,0.9455782312925171,0.6666666666666666,715.9629629629629,1,2,5.0,0.0,0.037037037037037035,0,1,0.1875,1,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
53,34,0,426,10,4,1,3,42,4,4,17000,Y,3,1,80,1,3,7,1,8.460622839927844,9,0.45816326530612245,-0.3333333333333333,524.8888888888889,0,3,0.6000000000000001,0.7777777777777778,1.0,3,2,0.23076923076923078,1,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
54,26,0,1479,1,3,1,3,84,3,2,26767,Y,4,1,80,1,6,1,1,8.763740720509464,6,0.2578231292517007,-0.3333333333333333,1066.1666666666667,0,1,1.0,0.16666666666666666,1.0,1,2,0.2,2,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
55,31,1,523,2,3,1,2,94,3,4,21081,Y,3,3,80,1,2,2,1,8.222285073872717,2,0.32789115646258504,1.3333333333333333,531.7142857142857,1,0,0.6,1.0,0.2857142857142857,1,2,0.23076923076923078,2,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
56,30,0,241,7,3,1,2,48,2,2,5348,Y,3,2,80,1,3,1,1,7.669495251007694,6,0.2578231292517007,-0.3333333333333333,356.8333333333333,0,2,0.19999999999999996,0.16666666666666666,1.0,0,1,0.25,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
57,32,0,1062,2,3,1,3,75,3,2,3956,Y,3,3,80,1,4,0,1,7.771067086065406,8,0.3904761904761905,-0.3333333333333333,296.25,0,3,1.0,0.0,1.0,1,1,0.23076923076923078,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,32,0,929,10,3,1,4,55,3,4,21703,Y,3,4,80,0,2,0,1,8.593598522618644,10,0.5595238095238095,-0.3333333333333333,539.6,0,2,0.6000000000000001,0.0,1.0,0,1,0.25,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
59,34,0,1303,2,4,1,4,62,2,3,8416,Y,3,3,80,1,3,5,1,7.926241523170962,7,0.7204081632653061,0.3333333333333333,197.71428571428572,0,3,0.4,0.7142857142857143,0.5,0,1,0.25,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
60,33,0,553,5,4,1,4,74,3,2,23364,Y,3,2,80,2,2,8,1,9.38252741428954,10,0.669047619047619,1.3333333333333333,989.8333333333334,0,3,1.8,0.8,0.8333333333333334,0,2,0.2727272727272727,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
61,47,0,983,2,2,1,1,65,3,4,7389,Y,3,3,80,3,2,0,1,8.531293315795018,5,0.8493197278911565,1.0,253.5,0,3,2.0,0.0,0.25,1,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
62,35,0,660,7,1,1,4,76,3,3,16192,Y,3,1,80,1,3,0,1,7.785305182539862,1,0.03537414965986395,-0.3333333333333333,2404.0,0,3,1.0,0.0,1.0,2,1,0.23076923076923078,1,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
63,30,0,921,1,3,1,4,38,1,3,24375,Y,4,3,80,2,2,0,1,8.251663923605589,2,0.32789115646258504,0.3333333333333333,547.5714285714286,0,3,0.6,0.0,0.2857142857142857,0,1,0.19047619047619047,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
64,58,0,1145,9,3,1,2,75,2,2,11873,Y,4,2,80,1,3,0,1,8.115819701211327,1,0.45816326530612245,0.6666666666666666,371.77777777777777,1,1,1.0,0.0,0.1111111111111111,0,1,0.2,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
65,37,1,625,1,4,1,1,46,2,3,14922,Y,3,3,80,0,2,11,1,9.26955223160803,14,0.7945578231292517,1.0,624.0588235294117,0,1,2.8,0.7857142857142857,0.8235294117647058,0,1,0.2727272727272727,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
66,45,0,1005,28,2,1,4,48,2,2,17119,Y,3,3,80,0,2,8,1,9.723463354790857,20,0.8710884353741497,-0.3333333333333333,795.4285714285714,0,3,2.8,0.38095238095238093,1.0,1,1,0.2727272727272727,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
67,52,0,585,29,4,1,1,40,3,4,19788,Y,3,2,80,2,3,0,1,8.155649270366002,9,0.7707482993197279,0.0,217.625,0,2,-0.6000000000000001,0.0,0.5625,2,0,0.2,1,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
68,38,0,1380,9,2,1,3,75,3,4,6319,Y,3,3,80,0,3,2,1,7.735870319952567,2,0.07346938775510205,-0.3333333333333333,1144.0,0,3,0.6,1.0,1.0,1,1,0.25,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
69,43,1,1372,9,3,1,1,85,1,3,9489,Y,3,2,80,0,2,1,1,8.584290934948731,4,0.32789115646258504,2.0,763.7142857142857,0,2,1.4,0.25,0.5714285714285714,1,1,0.23076923076923078,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
70,27,0,728,23,1,1,2,36,2,3,7018,Y,4,4,80,1,5,5,1,8.172164452111904,9,0.45816326530612245,-0.3333333333333333,393.3333333333333,0,3,0.3999999999999999,0.5555555555555556,1.0,1,1,0.19047619047619047,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
71,52,0,322,28,2,1,4,59,4,3,9731,Y,3,2,80,1,3,0,1,9.49160187662504,5,0.9180272108843538,0.0,551.9583333333334,1,1,3.4,0.0,0.20833333333333334,1,2,0.2727272727272727,1,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
72,49,0,271,3,2,1,3,43,2,1,23070,Y,4,1,80,1,3,1,1,8.474285690404962,3,0.5595238095238095,0.6666666666666666,478.9,0,3,1.6,0.3333333333333333,0.3,0,1,0.16,2,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
73,44,0,1488,1,5,1,2,75,3,1,4009,Y,4,3,80,1,2,1,1,8.604287898267172,4,0.45816326530612245,1.0,606.0,1,1,1.4,0.25,0.4444444444444444,2,1,0.19047619047619047,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
74,59,0,142,3,3,1,3,70,2,4,8456,Y,3,1,80,1,6,0,1,7.686162303492906,1,0.32789115646258504,0.3333333333333333,311.0,0,3,1.0,0.0,0.14285714285714285,3,1,0.17647058823529413,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
75,58,0,605,21,3,1,4,72,3,4,11761,Y,3,3,80,1,2,0,-1,9.791214310053341,1,0.9608843537414966,0.6666666666666666,616.3793103448276,1,1,4.0,0.0,0.034482758620689655,1,1,0.23076923076923078,1,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
76,31,0,471,4,3,1,1,62,4,3,16031,Y,3,2,80,1,0,2,1,8.288785810426928,2,0.13401360544217686,2.0,994.5,0,2,0.6,1.0,0.5,1,1,0.25,1,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
77,42,0,926,21,2,1,3,36,3,3,16439,Y,3,2,80,1,5,0,1,8.569026340056254,5,0.6404761904761904,0.0,478.6363636363636,0,3,1.4,0.0,0.45454545454545453,1,0,0.1875,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
