EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_Original,MonthlyIncome_Log,YearsAtCompany_Original,YearsAtCompany_Winsorized,YearsSinceLastPromotion_Original,TotalWorkingYears_Original,TotalWorkingYears_Rank,NumCompaniesWorked_Original,NumCompaniesWorked_Robust,IncomePerYearWorked,WorkLifeBalanceScore,LevelRoleGap,PromotionRate,RetentionScore,SatisfactionConsistency,TravelIntensity,PerformancePayRatio,RiskScore,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,SalaryBand_Medium,SalaryBand_High,SalaryBand_Very High,YearsSinceLastPromotion_Binned_Medium (3-5),YearsSinceLastPromotion_Binned_Long (6-10),YearsSinceLastPromotion_Binned_Very Long (>10)
28,39,0,412,13,4,3,94,2,4,2,17123,17334,6,13,3,4,2,21,4,3,19,9,15,2,17123,9.748236267264836,19,19,15,21,0.8710884353741497,6,1.3333333333333333,815.3809523809524,2,2.2,0.7894736842105263,0.9047619047619048,2,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
29,59,0,818,6,2,2,52,3,1,3,2267,25657,8,17,3,4,0,7,2,2,2,2,2,2,2267,7.7266536648476425,2,2,2,7,0.32789115646258504,8,2.0,323.85714285714283,2,0.6,1.0,0.2857142857142857,1,1,0.17647058823529413,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,47,0,1176,26,4,4,98,3,5,3,19658,5220,3,11,3,3,1,27,2,3,5,2,1,0,19658,9.886290527707606,5,5,1,27,0.9455782312925171,3,0.3333333333333333,728.074074074074,3,4.6,0.2,0.18518518518518517,0,1,0.2727272727272727,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
31,36,0,1425,14,1,3,68,3,2,4,6586,4821,0,17,3,1,1,17,2,2,16,8,4,11,6586,8.792853288640693,16,16,4,17,0.7945578231292517,0,-0.6666666666666666,387.4117647058824,1,0.3999999999999999,0.25,0.9411764705882353,3,1,0.17647058823529413,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
32,30,0,853,7,4,3,49,3,2,3,3491,11309,1,13,3,1,3,10,4,2,10,7,8,9,3491,8.158229916959494,10,10,8,10,0.5595238095238095,1,-0.3333333333333333,349.1,2,0.6000000000000001,0.8,1.0,2,1,0.23076923076923078,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
33,38,0,433,1,3,3,37,4,1,3,2844,6004,1,13,3,4,1,7,2,4,7,6,5,0,2844,7.953318346560431,7,7,5,7,0.32789115646258504,1,-0.3333333333333333,406.2857142857143,4,-0.19999999999999996,0.7142857142857143,1.0,1,1,0.23076923076923078,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
34,28,1,1496,1,3,1,92,3,1,3,2909,15747,3,15,3,4,1,5,3,4,3,2,1,2,2909,7.975908360165538,3,3,1,5,0.18537414965986396,3,0.3333333333333333,581.8,4,0.6,0.3333333333333333,0.6,1,2,0.2,1,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
35,31,0,192,2,4,3,32,3,1,4,2695,7747,0,18,3,2,1,3,2,1,2,2,2,2,2695,7.899524472032198,2,2,2,3,0.09829931972789116,0,-0.6666666666666666,898.3333333333334,0,0.6,1.0,0.6666666666666666,2,1,0.16666666666666666,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36,36,0,845,1,5,4,45,3,2,4,6653,15276,4,15,3,2,0,7,6,3,1,0,0,0,6653,8.802973456578423,1,1,0,7,0.32789115646258504,4,0.6666666666666666,950.4285714285714,3,2.0,0.0,0.14285714285714285,2,0,0.2,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
37,32,0,427,1,3,1,33,3,2,4,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8,6162,8.726318950962243,9,9,7,9,0.45816326530612245,1,-0.3333333333333333,684.6666666666666,2,0.3999999999999999,0.7777777777777778,1.0,2,1,0.18181818181818182,2,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False
38,43,0,990,27,3,4,87,4,1,2,4876,5855,5,12,3,3,1,8,0,3,6,4,0,2,4876,8.492285555710053,6,6,0,8,0.3904761904761905,5,1.0,609.5,3,0.19999999999999996,0.0,0.75,1,1,0.25,0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
39,28,0,120,4,3,2,43,3,2,3,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4,4221,8.348064228408266,5,5,0,5,0.18537414965986396,1,-0.3333333333333333,844.2,4,1.2,0.0,1.0,1,0,0.2,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
40,31,1,249,6,4,2,76,1,2,3,6172,20739,4,18,3,2,0,12,3,2,7,7,7,7,6172,8.727940222393896,7,7,7,12,0.669047619047619,4,0.6666666666666666,514.3333333333334,1,0.6000000000000001,1.0,0.5833333333333334,1,1,0.16666666666666666,1,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
41,50,0,316,8,4,4,54,3,1,2,3875,9983,7,15,3,4,1,4,2,3,2,2,2,2,3875,8.262558973010657,2,2,2,4,0.13401360544217686,7,1.6666666666666667,968.75,3,0.6,1.0,0.5,2,1,0.2,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
42,39,0,1132,1,3,3,48,4,3,4,9613,10942,0,17,3,1,3,19,5,2,18,10,3,7,9613,9.170975648453906,18,18,3,19,0.8316326530612245,0,-0.6666666666666666,505.94736842105266,2,1.0,0.16666666666666666,0.9473684210526315,3,1,0.17647058823529413,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
43,35,0,809,16,3,1,84,4,1,2,2426,16479,0,13,3,3,1,6,5,3,5,4,0,3,2426,7.794411205726601,5,5,0,6,0.2578231292517007,0,-0.6666666666666666,404.3333333333333,3,0.19999999999999996,0.0,0.8333333333333334,1,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,32,0,379,5,2,2,48,3,2,2,6524,8891,1,14,3,4,1,10,3,3,10,8,5,3,6524,8.783396232190894,10,10,5,10,0.5595238095238095,1,-0.3333333333333333,652.4,3,0.3999999999999999,0.5,1.0,2,2,0.21428571428571427,0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
45,26,1,1330,21,3,1,37,3,1,3,2377,19373,1,20,4,3,1,1,0,2,1,1,0,0,2377,7.774015077250727,1,1,0,1,0.03537414965986395,1,-0.3333333333333333,2377.0,2,0.8,0.0,1.0,0,1,0.2,1,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,30,0,288,2,3,3,99,2,2,4,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8,4152,8.331586243630754,11,11,10,11,0.6404761904761904,1,-0.3333333333333333,377.45454545454544,3,0.0,0.9090909090909091,1.0,3,1,0.15789473684210525,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
47,38,0,345,10,2,1,100,3,2,4,5343,5982,1,11,3,3,1,10,1,3,10,7,1,9,5343,8.583729715216482,10,10,1,10,0.5595238095238095,1,-0.3333333333333333,534.3,3,0.6000000000000001,0.1,1.0,1,1,0.2727272727272727,1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
48,30,1,330,1,3,3,46,3,1,3,2064,15428,0,21,4,1,1,6,3,4,5,3,1,3,2064,7.632885505395133,5,5,1,6,0.2578231292517007,0,-0.6666666666666666,344.0,4,0.4,0.2,0.8333333333333334,2,1,0.19047619047619047,1,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,38,0,216,23,3,4,44,2,3,3,9526,8787,0,21,4,2,0,10,2,3,9,7,1,8,9526,9.161885151706779,9,9,1,10,0.5595238095238095,0,-0.6666666666666666,952.6,3,1.6,0.1111111111111111,0.9,1,2,0.19047619047619047,0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
50,21,0,1343,22,1,3,49,3,1,3,3447,24444,1,11,3,3,0,3,2,3,3,2,1,2,3447,8.145549631783584,3,3,1,3,0.09829931972789116,1,-0.3333333333333333,1149.0,3,0.6,0.3333333333333333,1.0,0,1,0.2727272727272727,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
51,35,0,950,7,3,3,59,3,3,3,10221,18869,3,21,4,2,0,17,3,4,8,5,1,6,10221,9.232297539328226,8,8,1,17,0.7945578231292517,3,0.3333333333333333,601.2352941176471,4,2.0,0.125,0.47058823529411764,1,1,0.19047619047619047,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
52,50,0,264,9,3,3,59,3,5,3,19331,19519,4,16,3,3,1,27,2,3,1,0,0,0,19331,9.869517032964975,1,1,0,27,0.9455782312925171,4,0.6666666666666666,715.9629629629629,2,5.0,0.0,0.037037037037037035,0,1,0.1875,1,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
53,34,0,426,10,4,3,42,4,2,4,4724,17000,1,13,3,1,1,9,3,3,9,7,7,2,4724,8.460622839927844,9,9,7,9,0.45816326530612245,1,-0.3333333333333333,524.8888888888889,3,0.6000000000000001,0.7777777777777778,1.0,3,2,0.23076923076923078,1,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
54,26,0,1479,1,3,3,84,3,2,2,6397,26767,1,20,4,1,1,6,6,1,6,5,1,4,6397,8.763740720509464,6,6,1,6,0.2578231292517007,1,-0.3333333333333333,1066.1666666666667,1,1.0,0.16666666666666666,1.0,1,2,0.2,2,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
55,31,1,523,2,3,2,94,3,1,4,3722,21081,6,13,3,3,1,7,2,1,2,2,2,2,3722,8.222285073872717,2,2,2,7,0.32789115646258504,6,1.3333333333333333,531.7142857142857,0,0.6,1.0,0.2857142857142857,1,2,0.23076923076923078,2,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
56,30,0,241,7,3,2,48,2,1,2,2141,5348,1,12,3,2,1,6,3,2,6,4,1,1,2141,7.669495251007694,6,6,1,6,0.2578231292517007,1,-0.3333333333333333,356.8333333333333,2,0.19999999999999996,0.16666666666666666,1.0,0,1,0.25,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
57,32,0,1062,2,3,3,75,3,1,2,2370,3956,1,13,3,3,1,8,4,3,8,0,0,7,2370,7.771067086065406,8,8,0,8,0.3904761904761905,1,-0.3333333333333333,296.25,3,1.0,0.0,1.0,1,1,0.23076923076923078,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,32,0,929,10,3,4,55,3,2,4,5396,21703,1,12,3,4,0,10,2,2,10,7,0,8,5396,8.593598522618644,10,10,0,10,0.5595238095238095,1,-0.3333333333333333,539.6,2,0.6000000000000001,0.0,1.0,0,1,0.25,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
59,34,0,1303,2,4,4,62,2,1,3,2768,8416,3,12,3,3,1,14,3,3,7,3,5,7,2768,7.926241523170962,7,7,5,14,0.7204081632653061,3,0.3333333333333333,197.71428571428572,3,0.4,0.7142857142857143,0.5,0,1,0.25,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
60,33,0,553,5,4,4,74,3,3,2,11878,23364,6,11,3,2,2,12,2,3,10,6,8,8,11878,9.38252741428954,10,10,8,12,0.669047619047619,6,1.3333333333333333,989.8333333333334,3,1.8,0.8,0.8333333333333334,0,2,0.2727272727272727,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
61,47,0,983,2,2,1,65,3,2,4,5070,7389,5,13,3,3,3,20,2,3,5,0,0,4,5070,8.531293315795018,5,5,0,20,0.8493197278911565,5,1.0,253.5,3,2.0,0.0,0.25,1,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
62,35,0,660,7,1,4,76,3,1,3,2404,16192,1,13,3,1,1,1,3,3,1,0,0,0,2404,7.785305182539862,1,1,0,1,0.03537414965986395,1,-0.3333333333333333,2404.0,3,1.0,0.0,1.0,2,1,0.23076923076923078,1,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
63,30,0,921,1,3,4,38,1,1,3,3833,24375,3,21,4,3,2,7,2,3,2,2,0,2,3833,8.251663923605589,2,2,0,7,0.32789115646258504,3,0.3333333333333333,547.5714285714286,3,0.6,0.0,0.2857142857142857,0,1,0.19047619047619047,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
64,58,0,1145,9,3,2,75,2,1,2,3346,11873,4,20,4,2,1,9,3,2,1,0,0,0,3346,8.115819701211327,1,1,0,9,0.45816326530612245,4,0.6666666666666666,371.77777777777777,1,1.0,0.0,0.1111111111111111,0,1,0.2,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False
65,37,1,625,1,4,1,46,2,3,3,10609,14922,5,11,3,3,0,17,2,1,14,1,11,7,10609,9.26955223160803,14,14,11,17,0.7945578231292517,5,1.0,624.0588235294117,1,2.8,0.7857142857142857,0.8235294117647058,0,1,0.2727272727272727,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
66,45,0,1005,28,2,4,48,2,4,2,16704,17119,1,11,3,3,0,21,2,3,21,6,8,6,16704,9.723463354790857,21,20,8,21,0.8710884353741497,1,-0.3333333333333333,795.4285714285714,3,2.8,0.38095238095238093,1.0,1,1,0.2727272727272727,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
67,52,0,585,29,4,1,40,3,1,4,3482,19788,2,15,3,2,2,16,3,2,9,8,0,0,3482,8.155649270366002,9,9,0,16,0.7707482993197279,2,0.0,217.625,2,-0.6000000000000001,0.0,0.5625,2,0,0.2,1,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
